City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
east,2014-03-07,2014-03-08,2014-01-24 17:57:03,1,3360,41,male,high,no
west,2014-01-29,2014-01-30,2014-01-24 18:01:11,1,5760,48,male,highest,no
west,2014-01-27,2014-01-28,2014-01-24 20:37:59,1,3500,44,male,highest,no
west,2014-01-29,2014-01-30,2014-01-24 23:06:24,1,3500,45,female,high,no
city,2014-03-01,2014-03-02,2014-01-25 10:21:25,1,3100,40,male,high,no
west,2014-03-07,2014-03-08,2014-01-25 15:51:25,1,2800,52,female,high,no
west,2014-01-27,2014-01-28,2014-01-25 17:36:25,1,3780,47,male,high,no
west,2014-02-13,2014-02-14,2014-01-26 18:01:26,1,2499,33,female,foreign,yes
city,2014-01-28,2014-01-29,2014-01-26 12:55:26,1,3800,36,female,high,no
west,2014-02-09,2014-02-10,2014-01-27 15:59:27,1,5800,47,male,highest,no
city,2014-03-28,2014-03-30,2014-01-27 22:42:27,1,6200,37,male,high,no
west,2014-02-09,2014-02-10,2014-01-27 22:56:27,2,7000,44,male,highest,no
west,2014-02-09,2014-02-10,2014-01-27 23:00:27,1,3500,44,male,highest,no
west,2014-02-11,2014-02-12,2014-01-27 12:07:27,1,3000,67,male,high,no
city,2014-02-01,2014-02-02,2014-01-28 16:06:28,1,4300,53,male,foreign,yes
city,2014-02-01,2014-02-02,2014-01-28 16:10:28,2,7600,53,female,high,no
east,2014-02-15,2014-02-16,2014-01-28 20:01:28,1,3840,37,female,foreign,yes
west,2014-02-05,2014-02-06,2014-01-28 22:48:28,1,4480,46,female,highest,no
west,2014-02-06,2014-02-07,2014-01-29 11:07:03,1,3000,49,female,highest,no
west,2014-02-07,2014-02-08,2014-01-29 11:08:43,1,4480,43,female,highest,no
west,2014-02-16,2014-02-17,2014-01-29 13:46:29,1,3500,42,female,highest,no
east,2014-02-11,2014-02-12,2014-01-29 23:19:29,1,2880,51,female,highest,no
east,2014-03-01,2014-03-02,2014-01-03 10:41:03,1,4320,46,female,highest,no
east,2014-01-13,2014-01-14,2014-01-03 00:35:03,1,2880,40,male,high,no
west,2014-01-03,2014-01-04,2014-01-03 13:25:38,1,3500,35,male,high,no
west,2014-02-28,2014-03-01,2014-01-03 14:18:03,2,8000,37,female,high,no
city,2014-01-27,2014-01-30,2014-01-03 15:03:03,1,8700,34,female,foreign,yes
west,2014-01-24,2014-01-26,2014-01-03 16:17:21,1,7500,34,female,foreign,yes
west,2014-01-08,2014-01-09,2014-01-03 17:03:22,1,2499,52,female,low,no
west,2014-01-12,2014-01-13,2014-01-03 23:11:03,1,3780,43,male,highest,no
west,2014-01-29,2014-01-30,2014-01-03 23:30:03,1,3300,54,female,high,no
west,2014-02-07,2014-02-08,2014-01-30 10:29:30,1,6160,56,female,others,no
west,2014-03-07,2014-03-08,2014-01-30 17:33:30,1,3500,33,male,foreign,yes
west,2014-01-17,2014-01-18,2014-01-04 08:17:04,1,3500,58,male,high,no
west,2014-01-23,2014-01-24,2014-01-04 10:10:04,1,3000,38,female,highest,no
east,2014-01-08,2014-01-09,2014-01-04 14:21:21,1,2880,40,male,high,no
west,2014-02-04,2014-02-05,2014-01-04 17:59:04,2,7000,38,female,highest,no
west,2014-02-04,2014-02-05,2014-01-04 18:01:04,1,3500,38,female,foreign,yes
west,2014-01-19,2014-01-24,2014-01-04 20:24:04,1,15000,24,male,highest,no
west,2014-02-04,2014-02-05,2014-01-04 23:43:04,1,3500,40,female,highest,no
city,2014-01-08,2014-01-11,2014-01-04 12:01:04,1,8900,52,male,highest,no
west,2014-01-27,2014-01-28,2014-01-05 00:12:05,1,5199,45,female,low,no
west,2014-01-21,2014-01-22,2014-01-05 13:09:05,1,5760,26,female,foreign,yes
west,2014-02-16,2014-02-17,2014-01-05 14:43:05,1,2499,41,male,highest,no
east,2014-01-10,2014-01-11,2014-01-06 09:37:06,1,2880,43,female,high,no
west,2014-01-15,2014-01-16,2014-01-06 13:22:06,1,3500,39,female,high,no
west,2014-02-05,2014-02-06,2014-01-06 17:17:55,1,4480,48,female,foreign,yes
west,2014-01-22,2014-01-23,2014-01-06 20:37:06,1,3000,56,male,lowest,no
east,2014-02-08,2014-02-09,2014-01-06 22:10:06,1,3840,48,female,high,no
east,2014-03-01,2014-03-02,2014-01-07 00:23:07,1,4320,39,female,foreign,yes
city,2014-02-10,2014-02-11,2014-01-07 13:07:07,1,2900,32,female,highest,no
city,2014-02-12,2014-02-14,2014-01-07 13:11:07,1,5800,32,female,highest,no
west,2014-01-27,2014-01-28,2014-01-07 14:35:07,1,5760,46,female,highest,no
west,2014-01-28,2014-01-29,2014-01-07 14:38:07,1,5760,46,male,high,no
west,2014-01-17,2014-01-18,2014-01-07 19:22:07,1,3000,39,female,high,no
west,2014-01-22,2014-01-23,2014-01-07 20:05:07,1,3000,48,male,high,no
east,2014-02-08,2014-02-09,2014-01-08 07:51:08,1,3840,42,female,high,no
